Skill,Level,Question,Option1,Option2,Option3,Option4,Answer,Reference
Java,Beginner,Which keyword is used to create object?,new,create,object,make,new,https://www.w3schools.com/java/
Java,Beginner,Which method is entry point of Java?,main(),start(),run(),init(),main(),https://www.w3schools.com/java/
Java,Beginner,Java is?,Platform dependent,Platform independent,Hardware,OS,Platform independent,https://www.w3schools.com/java/

Java,Intermediate,What is OOP concept?,Procedure based,Object based,Class based,All,All,https://www.w3schools.com/java/
Java,Intermediate,Which supports inheritance?,Class,Interface,Both,None,Both,https://www.w3schools.com/java/
Java,Intermediate,What is constructor?,Method,Block,Special method,Variable,Special method,https://www.w3schools.com/java/
Java,Intermediate,Which collection does not allow duplicates?,List,Set,Map,Queue,Set,https://www.w3schools.com/java/
Java,Intermediate,Which keyword prevents inheritance?,private,static,final,protected,final,https://www.w3schools.com/java/

Java,Advanced,What is JVM?,Java compiler,Runtime environment,Editor,IDE,Runtime environment,https://www.w3schools.com/java/
Java,Advanced,What is multithreading?,Multiple processes,Multiple threads,Single thread,CPU scheduling,Multiple threads,https://www.w3schools.com/java/
Java,Advanced,What is garbage collection?,Memory allocation,Memory deallocation,Compilation,Execution,Memory deallocation,https://www.w3schools.com/java/
Java,Advanced,Which is checked exception?,NullPointerException,ArrayIndexOutOfBounds,IOException,ArithmeticException,IOException,https://www.w3schools.com/java/
Java,Advanced,What is synchronization?,Thread communication,Thread safety,Deadlock,Concurrency,Thread safety,https://www.w3schools.com/java/

C,Beginner,Who developed C language?,Dennis Ritchie,James Gosling,Bjarne Stroustrup,Guido,Dennis Ritchie,https://www.w3schools.com/c/index.php
C,Beginner,C is which type of language?,High level,Low level,Middle level,Script,Middle level,https://www.w3schools.com/c/index.php
C,Beginner,Which symbol ends a statement?,.,:,;,#,;,https://www.w3schools.com/c/index.php
C,Beginner,Which function prints output?,scanf,printf,input,cout,printf,https://www.w3schools.com/c/index.php
C,Beginner,Which file is needed for printf?,stdio.h,conio.h,stdlib.h,string.h,stdio.h,https://www.w3schools.com/c/index.php

C,Intermediate,What is pointer?,Variable,Address holder,Function,Array,Address holder,https://www.w3schools.com/c/index.php
C,Intermediate,Which operator gives address?,*,&,%,@,&,https://www.w3schools.com/c/index.php
C,Intermediate,What is array?,Collection of values,Single value,Function,Pointer,Collection of values,https://www.w3schools.com/c/index.php
C,Intermediate,Which loop checks condition first?,do-while,for,while,foreach,for,https://www.w3schools.com/c/index.php
C,Intermediate,What is structure?,User-defined datatype,Function,Loop,Pointer,User-defined datatype,https://www.w3schools.com/c/index.php

C,Advanced,What is dangling pointer?,Valid pointer,Freed memory pointer,Null pointer,Array pointer,Freed memory pointer,https://www.w3schools.com/c/index.php
C,Advanced,What is memory leak?,Unused memory not freed,Stack overflow,Seg fault,Compilation error,Unused memory not freed,https://www.w3schools.com/c/index.php
C,Advanced,What is recursion?,Looping,Function calling itself,Iteration,Jump,Function calling itself,https://www.w3schools.com/c/index.php
C,Advanced,Which storage class has longest lifetime?,auto,register,static,extern,static,https://www.w3schools.com/c/index.php
C,Advanced,What is segmentation fault?,Compile error,Runtime error,Logic error,Syntax error,Runtime error,https://www.w3schools.com/c/index.php

Communication,Beginner,What is communication?,Talking only,Information exchange,Writing only,Listening only,Information exchange,https://www.udemy.com/topic/communication-skills/free/
Communication,Beginner,Which is verbal communication?,Email,Phone call,Gestures,Posters,Phone call,https://www.udemy.com/topic/communication-skills/free/
Communication,Beginner,Which skill improves communication?,Listening,Ignoring,Interrupting,Arguing,Listening,https://www.udemy.com/topic/communication-skills/free/
Communication,Beginner,What is body language?,Spoken words,Written words,Non-verbal cues,Emails,Non-verbal cues,https://www.udemy.com/topic/communication-skills/free/
Communication,Beginner,Eye contact shows?,Confidence,Anger,Boredom,Fear,Confidence,https://www.udemy.com/topic/communication-skills/free/

Communication,Intermediate,What is active listening?,Hearing only,Full attention,Interrupting,Ignoring,Full attention,https://www.udemy.com/topic/communication-skills/free/
Communication,Intermediate,What is feedback?,Response,Question,Order,Instruction,Response,https://www.udemy.com/topic/communication-skills/free/
Communication,Intermediate,Which improves clarity?,Simple words,Complex words,Silence,Speed,Simple words,https://www.udemy.com/topic/communication-skills/free/
Communication,Intermediate,What is professional communication?,Casual talk,Workplace interaction,Gossip,Debate,Workplace interaction,https://www.udemy.com/topic/communication-skills/free/
Communication,Intermediate,What reduces misunderstanding?,Assumptions,Clarification,Silence,Speed,Clarification,https://www.udemy.com/topic/communication-skills/free/

Communication,Advanced,What is assertive communication?,Aggressive,Passive,Confident and respectful,Silent,Confident and respectful,https://www.udemy.com/topic/communication-skills/free/
Communication,Advanced,What is conflict resolution?,Avoiding conflict,Solving disputes,Arguing,Ignoring,Solving disputes,https://www.udemy.com/topic/communication-skills/free/
Communication,Advanced,What is emotional intelligence?,IQ,EQ,Technical skill,Speed,EQ,https://www.udemy.com/topic/communication-skills/free/
Communication,Advanced,Which is barrier to communication?,Noise,Clarity,Feedback,Listening,Noise,https://www.udemy.com/topic/communication-skills/free/
Communication,Advanced,What improves leadership communication?,Transparency,Silence,Orders only,Fear,Transparency,https://www.udemy.com/topic/communication-skills/free/

